POU1HjdXziM,Gurdeep Parhar
y7S4yQRCYHE,Karl Widerquist
GeDSgi0A7A8,G.T. Bynum
F1Kml3zuTco,Arnau Rios Huguet
0bRocfcPhHU,Radhika Nagpal
CwSXwgyjgcI,JP Canlis
bpi6us7wQfE,Rick Smolan
nLtUl2CP8ak,Sugata Mitra
8oeiOeDqSNc,Johann Gevers
0iTehgSOZ8A,Tim Prestero
xlggecnjOY0,Mohamed Ali
uqc56GMOYWY,Amy Lockwood
vIgWMzdgweI,Jason Mahr
ASY5DjSZUDE,Julie Lythcott-Haims
NiMgOklgeos,AngÃ©lica Dass
JolJi3uLMOM,Gaurav Dalal
xcR1SWhjZys,Darko Butorac
4B2qC7PIHxs,Rayden Llano
uPtP6SnAjJ0,Kamila MARKRAM
BKOqq21S4Nw,Kaitlyn Hova
DsSrzoyyfF0,George Tulevski
Jv2GGScsUc8,Zachary Walsh
mS8tQSTYLgk,Bill Bernat
uUL5oS1Yawo,Sandra Bond ChapmanPh.D.
sWnAtLt8kSs,Wang Jia
CV3XRRQB9PM,Amy Bickers
acikxzM6GaY,OluTimehin Adegbeye
XPAG3I8P34k,Samra Zafar
o0td5aw1KXA,Barbara Arrowsmith-Young
X98Fbe0Ccis,Rebecca Watters
1PNX6MSdVsk,Onora O'Neill
AzW2iKdSITM,Kirsten Rohde
XvS83nXSf0k,Pam Paquet
HJY8gMsonU0,Eythor Bender
gwMjgSqFm0M,Orli Ronen
Y4QZzZgYUKg,Brett Carver
Tsw4JAof8Sk,Diana Toche
A27QjpQSIeo,Anna Scheyett
wYCSHKl4RPU,Kevin B. Jones
vXPJVwwEmiM,Ethan Zuckerman
o2WyXD7IaN0,Harvey Fineberg
D1QoyTmeAYw,Mark Henick
s9jsZPeqFCw,Yoko Narahashi
16cMSRFid9U,Joe Gebbia
JeHqgambbcI,Maria Phalime
PXHczjOg06w,Boaz Almog
1IxIDGyISzk,Zhenghua Yang (Z)
8cboEp70nvg,Andrea Moore
S7t6Ry4PlTo,Wendy Woods
KLjgBLwH3Wc,Dr. Terry Wahls
pysNMB033co,Emily Parsons-Lord
M7KSnq0xkWY,Captain Charles Moore
PuroSL7O4eY,Xavier Damman
YzhSmnGcSkE,Dr. Joel Levine
KshwSURVhZA,Matteo Civaschi
7qT3RpaBlJo,Bran Ferren
Gk9T7ngEijs,Dr. Stephen Mark Shore
RAec7hRHVKs,Joel Bayliss
AsSd2nmoKNA,Elizabeth Lesser
cbSts8fUhB8,Paul Kemp-Robertson
5p0ptQizXjg,Lydia Miteza
6Eu964BbJO4,AndrÃ© Haardt
SUkVcmKZyyQ,Neville Bruce
TDaFwnOiKVE,Kevin Slavin
9VOHt1oULJ0,FranÃ§oise Meunier
LEx6K4P4GJc,Caleb Harper
SZbNyp1jeGo,Michael Quinlan
L2M15ZeTLxc,Amy Martin
mWp4Sp8GTgI,George Coyne
H4iRPytrnJo,Don Levy
ddw1S3ZVjTE,Billy Collins
F6NU0DMjv0Y,Anne Curzan
9CqVYUOjHLw,Mikko Hypponen
CpaFX6Ei0nU,Lashon Amado
haTsrKptgIU,James Jim Shelton
c0mVa7d08tg,Vamba Sherif
ye8sVvVJdg4,Raghava KK
ORvwzoSf1Sc,Dan Bricklin
tpODOkfrwyQ,David Bristow
l1fodZNF1GI,Martin Reeves
lrSmXnUoUXM,Nancy Frates
SResvScvMkE,Swil Kanim
b6YTQJVzwlI,John Underkoffler
KnCqR2yUXoU,Arvind Gupta
rvkMauaHxBw,David Sengeh
OzvxbUnWJUc,Josh Blacker
dXqPaHQp4Xw,Roz Savage
4SkoG9FWP4w,Robert Litan
cxGWGohIXiw,Harry Baker
H8Pr9Jnulxk,Betty Smith
31PyAjy6Nl0,Eric Kornacki
N7wF2AdVy2Q,Tim Harford
SFW0TEFKCxk,Angela Belcher
ioMpOr7Yx98,Madeleine Albright
tNKdc6Lxcvo,Marcin Strzelecki
Z7CtKDNf2RI,Ellen Gustafson
B9DdIivSGts,Aala El-Khani
cMXFiYhm79g,Damon Horowitz
TvW4yugCPZo,Paul Collier
NFDmsNCGcvc,Magda Sayeg
3OgsRa7VDtI,Haley Van Dyck
JmZpFy1QUww,Rachel Lucas
LZAi7DlVN2g,Faith Jegede
1Totz8aa2Gg,Sebastian Wernicke
mY2LIQbiGbo,Mark Arnoldy
2i0dGoh3VUg,Baiba Rubesa
uzKBGtf0i0M,Thandie Newton
64RLBgDSCck,Ramanjaneyulu GV
1X8b7mXImVM,Louie Schwartzberg
YXWKuKSQsu4,Sajay Samuel
CxEqV8WtfOo,Uldus Bakhtiozina
oQql5kbCDEg,Matt Lennick
njESlZa2b10,Jessica Gimeno
svIPBU31d0c,J. Michael Cole
U23gPSGhW1w,Menny Barzilay
syqScVtnKuU,Liz Coleman
95MmftgCHMo,Kaleigh Thompson
McDjnRcUcfM,Mike Markham
mX0ClTcuMoU,Milena Nguyen
fHhIkynELNQ,Sebastien Morvan
jodhovumkHQ,Alexandra Redcay
VvpUZjRVoBI,Michael Paul
T7ibjISKSdY,Camilo Rodriguez-Beltran
M7gB1OxksUM,Sophie Thomson
N3SCXzYOWBg,Mary Jo Kreitzer
1BHOflzxPjI,Kate Raworth
Sktdq5z1NS4,Mick Ebeling
C4pHPSpgwlI,Marco Tempest
kmNxhFFZWpM,Andre Manoel
gOdAHe3SfVI,Lynn Walters
OH0dK208MNk,Trevor Copp & Jeff Fox
vpTHi7O66pI,Allan Savory
UxDhMEkV0DM,Alistair Volunteering
SIl70mlj38o,Malcolm London
ZPBTnWWWUY4,Marieke Hermans
vzKA1y3cdYI,Mitchell Fourman
kzhJb5jcH58,Madeline Poultridge
wGMLhaa98GI,Diana Reiss & Peter Gabriel & Neil Gershenfeld & Vint Cerf
EYgoqiX15Rw,John Hodgman
vg8WAv0YT9c,Martha Atkins
tjZlLk9bVVA,Stephanie White
h27g5iT0tck,Fred Jansen
n9yuAhusVts,Jack Andraka
1N39Z0ODeME,Paula Hammond
V2gCKH91GJo,Maria Leijerstam
Rw9s0ivfn3w,Mitchell Joachim
rXepkIWPhFQ,Michael Pritchard
YCWwFEhEDco,Lisa Macuja-Elizalde
mf5otGNbkuc,Beau Lotto
D9Ihs241zeg,Chimamanda Ngozi Adichie
teVE3VGrBhM,Abria Joseph
b81YwSOs8RM,Alex Andreou
ydzNAuqUAnc,Rory Stewart
WR2kKw3kQEA,Wojciech NarÄ™bski
PyS1o4sX1hk,Chris Hansen
jsZDlBU36n0,James Robinson
2g9GedPylM8,Manuel Klarmann
tkIgSSxPzTA,Samuel Cohen
JzLiCBCbAMY,Robert Shetterly
a9SWyvRyLQU,Brad Johns
9o2CRjTRKIA,Sean Prentiss
aSJn0xD0TXs,Mark Ritter
xWVWhSvNLtU,Jeff Slobotski
i73jKeE8h3A,Dave Crenshaw
qNvDRuGK84I,Gerard Ryle
GJWSZgjz7G0,Joanna Bagniewska
8s3bdVxuFBs,Kyle MacDonald
E3SSSS5SFHQ,Brad Jenkins
iTdZn78u6pI,Dana Kletchka
6g3WUEgrvVA,Rajon Lynch
8m1X26Auw6Q,Triona McGrath
BFK2knjj4lQ,Jarrod Haning
gSycQufrgK4,Jack Andraka
IKZCw4xdESQ,Alice Domar
O4g60zB4Un4,Lucy McRae
mJxA8eIWQUc,David Pogue
ygmlKMQ8kc4,Alison Killing
cCdu67sSC5E,Vineet Nayar
BBSVLGf7zPI,Terry Engelder
eG2X0WRrb88,Tuan  Ha
9UiK4llJOXc,Mick Mountz
FsGu5YTM1NI,Charles Hazlewood
sAMahX5hIgU,Ricardo Valerdi
Qd7PiXg5fKE,Dr. Helen D. Lewis
70VZ1SOzSnc,Kent Larson
6MgDcFlTgVM,Laura Robinson
T9nFC6dkRxU,Natalie Cernecka
KI3WJXNhCJ8,Kenn Dickinson
aEjUlH7bNDo,Jamie Lee Brett
rSSanSYZDT4,Nina Tandon
uTL9tm7S1Io,Mariano Sigman
8iZSsHd0IlU,Mert Iseri
zMGE3mbS9NY,Alessandra Orofino
PvT9tD3NZvo,Ramesh Raskar
6JcKbNSGjCE,Seth Fairchild
ts9JpM0gHMU,Simon Heywood
8UhqkX2VAmo,Edsel SalvaÃ±a
LRTTPsSAujA,Anas Aremeyaw Anas
cknBAMirSiQ,Dr. Chandra Krintz
4GMtcj9bBek,Katie Urban
shG0ezBeeJc,Nikki Webber Allen
1NG7FoC5XRo,Stephanie Borrie
Urk3xn7l3AM,Robin Hanson
z1KJAXM3xYA,Amber Case
TUtxSwC5mqA,Felicia Ricci
iwlSPe0FbSg,Jia Jiang
qafSjNLjedo,Ryan Gravel
LXQqrR9mDMo,Candace Johnson
zuLOT6GsAxw,Stephanie Buxhoeveden
3lxyiS3CGrk,Jonas Gahr StÃ¸re
wSepGxx36To,Charles Wight
25onkAGt3Gs,Cristina Cassandra Murphy
YATYsgi3e5A,David Brenner
nG1oCU0ijP0,Caroline Dean
WXOd4qh3JKk,Clara Vuletich
qEZmFR1WS7g,Brad Buchanan
lRAeIrv4TEE,Rashod Ollison
ZB50BfYlsDc,Jason Pontin
H6n3iNh4XLI,Celeste Headlee
dIh8KBOOkYU,Beardyman
X41iulkRqZU,Anne Lamott
34a7UEzZdsA,Karina Hollekim
4ZB29iqSZd8,Christina Warinner
oHBKqCI4Fgg,Jim Toomey
yqWJuDBSWm4,Ann Papoulis Adamovic
xP4w2DMscGw,Catherine Mohr
qQJHZZwI8zE,Nicol Vizioli
NgDGlcxYrhQ,John Green
CgNx9Bgac1I,Richard St. John
RRRDYBwjjU0,Zainab Shakir
58eTdyeVwbA,Elizabeth Hordge-Freeman
orumugzJpt0,Jessica Ladd
W4I68CGUV3w,Karen Kersting
Kw5vyJ30djM,Sarah McBride
2SlBiFZ85d0,AJ Jacobs
CiLnSGrcuEs,G.T. Bynum
CQ6by9cmt54,Adi Barkan
rYwTA5RA9eU,Anant Agarwal
Kxg0SEpOcWs,ShaoLan
cJgStPB0Nu0,Chris Milk
NdKEy6vcCMw,Dr. Heather Berlin
fnhJUeCQfSo,Beth Carroll
9P73k8m3Ytw,Steve Omohundro
xjSQFZX2m9o,Susan Chandler
wOsQKjNoHmw,Robert Hakiza
h2KQoHMCwlw,Lucianne Walkowicz
QISHX5UKky0,Lewis Pugh
XSHE4HfaSOY,Jonathan Trent
7OdvcrAOSAw,Daniela Fraga
gVLu99Ja2mA,Dan Phillips
6GEMkvT0DEk,Marcin Jakubowski
CXSKrxq5eUI,Jonas Eliasson
xRdZXhyrO6c,Meera Shankar
CR5krXHkr2I,Mischa Janiec
z0USUSGggf8,Colleen O'Grady
ky6KSWsx5RE,Jocelyn Corniche
nshZ0SMsn9s,Rob Wicall
5WI6ZqCUNk0,James Patten
PCupHgKGCcY,Minik Rosing
Wh9O3SciOYs,Scott Strode
Y8u42OjH0ss,Jenna McCarthy
BPMrcY9z0nM,Haydn Shaw
FJFxLQCo83U,Dr James Gerber
8OkzozrUEHY,Dan Thurmon
E66oIgegbv0,Jonathan Stalling
Ym6VkhUn0ec,Kacy Catanzaro
1Yz7Snu6pnI,Robyn Stein DeLuca
XO1MeSMYSQ0,Misha Glenny
jQ95xlZeHo8,Rosie King
XzZJuEDQ1a0,Jedidah Isler
YzQDnTPuNZM,Ellen Johnson
v22SdEMzxO4,Wingham Rowan
bk65ivyQZy8,Philip Murphy
R7beBKnH9u0,Jamie Kleman
T3I6LwDSfPE,Beth Healey
8wSOZFBcwZc,Trita Parsi
VqtEppZmjfw,William Noel
fw01Sq0cxM8,Alice Bows-Larkin
eYLb7WUtYt8,Glenn D. Rolfsen
1aEKPfi37Mc,TEDxSUU
xTMZJvfzxGY,Michelle Barnes
SMi3rHuK0c4,Marnix Pauwels
vdDFLzyk94k,Jacob Helliwell
PcDftBVDSlc,Paul Snelgrove
UQYoWwHg3qA,Suresh Jayakar
1KS10q6N2A8,Tom & Peter Campbell
jnS66SszwEs,Seema Anand
u5GCetbP7Fg,Anthony Peterson
re7fSqe6SBI,Minka Bos
PDefVd8DRxM,Rebecca Saxe
a5xR4QB1ADw,Cormac Russell
hbkBSjNGSzE,Andy Yen
8JSMI8Xrwms,Abby Donelson
u9GEmyZ8B3Q,Joshua Konowe
IjHlyKTSUug,Shigeru Ban
YXrEVQFtJm0,James Smart
V4sSabKqyMU,Nadia Al-Sakkaf
lXQ4HSMp1OA,Erica Stone
SxwLfSlkJDI,Iwan Baan
sxnlvwprfSc,Abraham Verghese
5pIGDw18mIQ,Pilar Ryan
z9sa2ZAqHl0,Robin Ince
40riCqvRoMs,Fei Fei Li
Sa27SUR0Mlo,Mallory Freeman
lv2SjZ6tIGg,Rosie Allimonos
5qaktKVLSzM,Timothy Ihrig
cWCSzDdF74s,Tristram Stuart
qL7UlSA6rRk,Gihan Kamel
0T2RS3ydRiY,Samantha Lobato
YrSpoWSKK1Q,Matthew Youlden
1yVdhRyTxaM,Brenda Romero
28hGxw5DBK8,Tara Funk
E6wlTtQBlhI,Ramin Farhangi
pPBI8oUXZ8Q,Darrick Baxter
BEcyzAcFFwU,Bruno Fernandes
fSf5wNwS2c0,Gary Kovacs
7JVTirBEfho,Mary Robinson
WMAunz9LqZU,Bella Galhos
edEs4sjlmJY,Guy Kawasaki
2OlhCITl1J4,David Horner
80GqbW1MmQM,Andrew Solomon
SgYvy71CSSA,Mark Damen
b5QCM1SgVGA,Thulasiraj Ravilla
bZS7T5eF3hY,Larissa Milne
TXaXvrd3jS4,Laurette Lynn
iONu2ndDmHM,Femi Nylander
pvqgsvA2XiQ,Birke Baehr
qykSnLkPM7E,Marwa Azab
0RUT1BoOPSM,Arik Hartmann
RSl1ramE35s,Ted Powell
ZVRbSuY3h9w,Rory Varrato
DtT6S1vtjzQ,Dr John Principe
V48M5jS6zdE,Cynthia Kenyon
CiSk3gmyjQ8,Carmen GarcÃ­a
vYV4tAq3wVg,Michele Simonato
RaSlxoAUP5c,Paul Nicklen
UPRxyy2UB3c,Charles Noble
1COwySxiwSg,Brad Butler
SPSq3cW672s,Austin Eubanks
lECfUfqNVoo,Esther Kabaija
i63jTStjZSQ,Gabriel Barcia-Colombo
E5BOBs3Nmbw,Joren De Wachter
SMTRxRO5SRA,Sal Khan
nbYQ7kdt0U4,Zubaida Bai
fv8KpQY0m6o,Jeffrey Jensen Arnett
MD23gIlr52Y,DiÃ©bÃ©do Francis KÃ©rÃ©
Uvli7NBUfY4,Emma SeppÃ¤lÃ¤
K9SQUZbAIoY,Matt Stopera
sfkEISl6heI,Paul Oomen
LMrzdkSYnYY,Antonio Damasio
1XL8I9SIqRY,Adong Judith
Uwl012o8P7I,Cary Fowler
UN8S8qSKmdE,Grace Quantock
qzR62JJCMBQ,Andy Puddicombe
48xS00Iy0ac,Justin Davidson
16p9YRF0lSg,David Kelley
1US4jjWtua8,Jonathan Foley
p8KSCPXuYwI,Roland Kelts
bwMUQEMOP6w,Mario Brown
YiXdS9DFCOQ,Richard Seymour
3OMgvtWNHp4,Kakenya Ntaiya
mZqL7MC8Eys,Alison Phipps
23FRUuLcQ6A,Ronan Taylor
NFIOuy3JSIQ,Arthur Zang
7uN4I1wEOXE,Cesar Kuriyama
xyIQFI865Sw,Dr. Timothy Golden
OtUSnXV0i4E,PaulÂ K. Piff
5zuBDgBdyug,Jordon Cox
YLGX78yqcsQ,Erich Barganier
UOn3zOp8JPE,Brad Bushman
JTX0diTlUFU,Or Sagy
LNohxpJntZo,Matt Ratto
syjEN3peCJw,Eleanor Longden
HD4bpztESWw,John Hardy
kpyc84kamhw,Nipun Mehta
j2ax758kW6o,Amy Walker
6cL5Nud8d7w,Jeff Speck
CpkXmtJOH84,Geraldine Hamilton
FX6j9jPF8Ss,Ani Liu
ALryABSAYiA,Debbie Goff
FqSVvAxDBRY,Stacy Ennis
JtSjYnXD83Q,Shari Zabel
KsSSMh1QhMc,Amy Cuddy
E0oPnS7rUwE,Mia Birdsong
w7rewjFNiys,The Minimalists
QgZfyTguSPM,Samantha Peterson
PFVP8L3SlfQ,Ingrid Adams
GSmaUPREKlU,John Gathright
aGSZeDqG8Zk,Teddy Cruz
uTbASmxo858,Bernie Krause
T8VS0LUCgmk,Julian Maha
SbgwDk7A4as,Robert Green
VQRjouwKDlU,John McWhorter
2Yt6rajSS1M,Eddy Zhong
W4zepOS7dgk,Bertha French
o5SrKh9BNHg,Jari Ognibeni
7ZWTG0SeCEg,Janelle Ayres
SC3DVeWT09w,Craig Dykers
OPASrQyKeLY,Tom Shannon
LEzsELPNmr4,Anjali Tripathi
gjq2BoAF0JA,Raymond Wang
fLJsdqxnZb0,Shawn Achor
kjmsb9pDrF0,Catherine Purkiss
et3SeEX62aU,Cathy Olkin
FAubx3BBgLk,Whitney Phillips
LjAsM1vAhW0,Peter van Uhm
b1XHSPB6AmY,Reidun Dahl Schlanbusch
jT8G44XPYW8,Mundano
28sa2zGgmwE,Chika Ezeanya-Esiobu
hBtXiTumdY0,Susana Pavlou
ppRtQCAbzPk,Brianna Robertson-Kirkland
kSva30kSgHM,Dana Jones Rashid
CS01Hmjv1pQ,Ralph Langner
LrBKcTTMlCQ,Catherine Wallace
HwxjoBQdn0s,Karen Gaffney
iPrDiPDTzYk,Mark Taylor
85hbMtegrLc,Azim Khamisa & Ples Felix
3fM9o72ykww,Dominic D'Agostino
wZ2TF8SPGQ4,Pamela Ronald
rzwJXUieD0U,John Hattie
vJ66jv8ICjc,Antony Gormley
r3afSFSG570,Dennis Lo
4l3Kj3hVSVY,Dianne Fair
8J622Kyt4r0,Sanah Jivani
KxLMjn4WPBY,Dorothy Roberts
4YooZCkyUsY,Cheryl London
z4kwU6z6ORg,Chris Johnstone
aOW7JZaqKGA,Niamh Houston
EgU3iSg8ZRY,Steven Zanella
5pGWV4KBDUs,Rudayna Abdo
4ErEBkjS3PY,Vijay Kumar
CPVjktgYKo4,Ngozi Okonjo-Iweala
ccItSqRQBoI,Ze Frank
IfjI0tVUpbc,Melvin Russell
AO4In7d6XSc,Marc Raibert
0Q1owhv3qAA,Christina Brook
VStEmE85QDE,Susan Joy Hassol
1VRgmKiE0Js,Steve Ballmer
r92jUj7gNRw,Sandi Toksvig
luFjmQJpPSU,Pat Leach
3nSEitPb7BU,Evan Williams
y9KeyKVuLHU,Carl Safina
SFOCpMAww28,Chris Anderson
Rf8qS8gbfrw,Jennifer Chernega
goiyLgCzgSI,Gai Ben Dor
mjUsobGWhs8,Shubhendu Sharma
6ePXxeGrfvQ,Ronald Rohner
lPmBmFBwdec,Jessica Thomasson
RxqyO5hafdk,Molly Shoichet
SasMjDCSyR4,Hui-wen Sato
kyznWXHEX1o,Robert van der Wolk
N37x4GgDVBM,Hannah Fry
KPNn880KWfU,Pankaj Ghemawat
Wgt8QUHQjw8,Anjan Chatterjee
ogeGJS0GEF4,Alan Smith
aUBawr1hUwo,Pico Iyer
267BlUBordQ,Jon Pharoah
KjKBOo5tFX8,Craig Robertson
YrtANPtnhyg,Pranav Mistry
0Bhk65bYSI0,Margot Taylor
1fZ4XOnnh1c,Annie Lennox
eyBEIx7fCfY,David Shaner
CZNrOzgNWf4,Gary Slutkin
J8FyHI00ELY,Alanna Shaikh
R5PHGMRoZMA,Tal Danino
CwpvSWtUP3o,Doug Stilwell
aiIxdFBA0Sw,Emily Pilloton
ts5MKtXNpMQ,Bruce Bueno de Mesquita
QG4Z185MBJE,Russell Kolts
hHEVMhHDP1E,Ed Ikin
2L1R7OtJhWs,BJ FoggPhD
dkLcwHmnPV4,Rory Sutherland
sEOSCziWuP8,Jackie Tabick
nCg2NcGYu34,Tracy Chevalier
eAnHjuTQF3M,Cynthia Breazeal
cplaWsiu7Yg,Alison Gopnik
ohGMgSLJCjs,Dr. Maria Sirois
23Uuehgmd14,Ali Carr-Chellman
FESv2CgyJag,Lauren Constantini
eMMKxVcxjrI,Dunya Habash
5Dn08yo9aiM,Tom Rielly
S6pLPVfKFoQ,Zak Ebrahim
jhOJ7DQo3ZU,Amraha Nadeem
ndAHAjgquwk,Anneke Short
FktsFcooIG8,Daphne Bavelier
19MSMRPgPYc,Tracey Stewart
kwYxHPXIaao,Rajesh Rao
wKIHuxe2fi0,Klavs Sedlenieks
5d4ZEgZU9Aw,Louis Zacharilla
kLRanIhp2jg,Alex Kerr
2pqSshPP4cw,Ann Barnes
FnL7I6tESAs,Dragan MihailoviÄ‡
WCj82W7XkjI,Pierre Johannessen
rSqYQXRVP0k,Amanda Bennett
LIy2oVJtJsA,Krista Donaldson
wJttdkKo4nM,Kary Mullis
xPTmHKlH7s4,Andrew Bastawrous
u70RZtCJSrI,Tasso Azevedo
zDcaoTVy4fA,Juliana Machado Ferreira
SgKCzdT60Uo,Noah Charney
fOk6HQaNpdE,Bruce McCall
5Yikqlc7yl8,Marlene Caroselli
YPLGuwXomYQ,Garik Israelian
v3oSF94S4FI,Jonathan Haidt
6d6oq0zGGmw,Jocelyne Bloch
WQ2PFoHptK8,Jamie Heywood
dFC2pSkETas,Tshuutheni Emvula
NR33yerZgso,Alison Meyer
YYIXwJD7zeY,Rachel West
SWjSKTraw7c,Alejandro SÃ¡nchez Alvarado
IGadg8xHVPI,Simon Berrow
G9wIXAGzn1w,Hatch Steven
HNMQSw7hXTA,Giulia Enders
zyet9fPS24k,Chris Davenport
RKmxL8VYy0M,Ben Goldacre
vyFBwQkzfSM,Anne Marie Twigge
KvQRF6PKojA,Thomas Dreyer
3gSSNHO1dDs,Ze Frank
J6SSCMhcCfQ,Elliot Krane
IfG7WVSbN6Y,Ron Self
mLSFzBUAHuQ,Dr. Kate Moran
BYeYVuqD8kU,Dave Brain
Gvo6xxoSSzE,Reo Menning
CK5w3wh4GSM,Daniel Dewey
2Pp9ONyxBr8,Zachary Maxwell
St7SxHszKws,Eric Barthold
gj3ZnKlHqxI,Graham Shaw
3NzgEwye6Uk,Pablo Martin de Holan
Suna6LDOvS8,Fred Bahnson
6bVhrpkp0WU,Michael Pilato
7LE4MoJS2po,Leila Takayama
6tSlMoMNSlY,Nadya Peek
M0SbSz5Le10,Christopher Ategeka
d6KSsePuFAo,Alec Soth & Stacey Baker
0ztdofPc8Rw,Deborah Lipstadt
gVSyVSIybBM,Ned Breslin
QEiWkJbc1Zs,Zak Abel
0d6iSvF1UmA,Sayu Bhojwani
pMNxSROBwrg,Munir Daair
S9O9vyJBQ6g,Rowland Manthorpe
Yn9fTcSWMbo,Seth Priebatsch
RLh5CRUecfY,Chris Temple & Zach Ingrasci
mqovAg11qSc,Brian Dettmer
qBfwUkCGJHQ,Uyanga Erdenebold
huzhvbrcgeQ,Elena Tisnovsky
eR22lqzdIHU,Steve Truglia
nmVDcD2olOA,Ryan Landau
7vsO7SHLJMI,Dwight MacAulay
Svm5Czaf82k,Britta Riley
DDaldVHUedI,Titus Kaphar
zLNXIXingyU,Richard Ledgett
shqLZyONA0M,Kayla Montgomery
XyCY6mjWOPc,Geoffrey West
jSS03JfgHEA,Jeremy Heimans
AHfiKav9fcQ,ZoÃ« Chance
8etnSTnX92g,Maura Lee Bee
LVSRvzXGH2Y,Mike Matas
SQ06XyEtGzs,Dr. Ostrowski
SfQVotsYV0Q,Guy Armitage
LUNBiST4KSs,Justin Lamb
TVfmUfr8VPA,Bonnie Bassler
0akiEFwtkyA,Dr. Liat Yakir
0gks6ceq4eQ,Lisa Feldman Barrett
RbNqU2K0qzo,PatrÃ­cia Medici
3ELnyoso6vI,David Cameron
TcBrchkBSBE,Oren Shoval
GlpGBSBpxOE,Julia & Jean-Pierre De Villiers
ZzugJPASNB8,Vivek Maru
MV0Iob65Nq4,Brent Eviston
V00n4QEPP4g,Paul Hughes
I7wxkBnnnrQ,Pages Matam
iNOE0dZpHcY,On healing & forgiveness
cpo7MBC3Skk,Jeff Sheng
rB6WmWvvyxg,Katie Cole
b28brIs1OmM,Leila Hoteit
49aWAHqi200,Stephen Coates
sR6P5Qdvlnk,Bel Pesce
nv0dObM5XGk,August de los Reyes
bxkslfQc0EA,Tonya Wilson
bDbN8R6Gb6Q,Gabi Ury
aS1UEAGCo30,Christopher moot Poole
AegIbt2j0sU,Toni Griffin
sHJZRPWXQ9s,Lauren Hodge & Shree Bose & Naomi Shah
R21MsHQA8vM,William R. StimsonPh.D.
30KJRb4MzSg,Patrick Linehan
i7Ssa6UEpUQ,Bruce Benamran
HonUUtuCSwM,Phil Mitchell
uarlIjkHlAs,Adam Sadowsky
kcEIsbO0ivA,Fred Swaniker
co2enjjt3J0,Hugh Gusterson
JvIbrDR1GSc,Scott Aaronson
UG2zHhgfAW0,Bob Carey
uM1Ygy0tSp0,Caitria & Morgan O'Neill
UoruUSrndBA,Todd Dewett
mK2TDdEP58g,Victoria Alondra Palomino Hernandez
xgKqX5Yj3b8,Joel Kroeker
OP7ENrKYA20,Shih Chieh Huang
y8ip1mQovVI,Kate Adamala
IMjn62naclM,Nicholas Negroponte
CrsdoIOGCRw,Kerry Thomas
9SQYDFiWnSs,Jovan Mays
LlQXs0yofMs,Penelope Jagessar Chaffer
8pHzROP1DSw,Kenneth Cukier
pbSSrJGgVIo,Travis Kalanick
VzyjDRSAWzE,David R. Williams
SXJ20tt5nPQ,Mark Plotkin
7s0CpRfyYp8,Daniel Wolpert
1LSE7KCN9xg,Dr. Carly Howett
acJscdoP2a4,Jenna Norwood
b9jb9UjCpik,Salvatore Iaconesi
P4X9ZfEx9So,John M. Jordan
X4LOF6ftJVU,Sergei Lupashin
oy25A7vnigg,Sting
2a2724wcfcc,Scott Bradlee
HgRJNsTb08Q,Pages Matam
1fTJSjszTac,Tenda McFly
QoyBYYpal1Y,Jessica Green
TRajLqEaWhQ,Nikolai Begg
UCFg9bcW7Bk,Joe Ruhl
5ftklsHZ4cU,Thomas E. Albrecht-Schmitt
nLotSkXFSUg,Kate Davis
VAJS5J21Rd0,iO Tillett Wright
wBObnvIZGwE,Diana Wu David
ayVm441iZfo,David Baron
QeIrdqU0o9s,Emily Balcetis
YmRKlZEXVQM,Sherry Benson-Podolchuk
upNONoxskiw,Bodhin Kjolhede
tUAepQYyMY4,Shaffi Mather
buhMdC7MO0U,Scott Fraser
8dSDMQNoikU,Seiichi Kondo
8khcH5Lqxgk,David Neto
zBSaSy6aKTY,Erica Nasby
SvZXgApsPCQ,Jia Jiang
pCHWOt3FOgY,Roger Antonsen
SV2FB4ZmsTQ,Karina Bowers
2tBuvxXxlS4,Barbara Natterson-Horowitz
1JxxCB9GiGU,Jennifer Lee
ruh6rN5UrME,Will Wright
2Kk9R2rhwlQ,Elizabeth Urbanski
lfrG2bidW5g,Simon Anholt
5qdZybHSLnI,Giles Duley
hJZ0pAoxksE,Alberto Alemanno
nFQU5a5SByg,Lottie Child
79tRTivyMSM,Michelle Ryan
05jJodDVJRQ,Colin Grant
akiQuyhXR8o,Michele L. Sullivan
rokPqHc9iD0,Robert Muggah
dkmpRQdJslI,Niki Okuk
v7xAZ2lrel8,Lonnie Graham
snkrS1C2e7U,Mamata Venkat
YXSOxBfsvbk,Terry Moore
y2X7c9TUQJ8,Rory Vaden
eMXQ6ebbC1c,Jade Hameister
rqXZHA46wTU,Hanna Michaelis
iq5lXSj6Prg,Kajsa Ekis Ekman
I9cmQFj13rc,Bryan Stuart
ttDM6ZtLUL4,Homaro Cantu & Ben Roche
LTtTfCwkIW0,Alan Friedman
iAZwvTV3CyQ,Richard Layard
pLqjQ55tzSU,David McCandless
4VDYo4k3xKk,Darnell Moore
AHcTWlxWzpE,Emma Teeling
xpnFeyMGUs8,Niall Ferguson
xzT6iH2CX4k,Georgette Mulheir
dO6AuQR9R7E,Cortney Rowan
omGbKQIzoWY,Anne Zachry
1L6lSFiV4xo,Rives
pTZM9X3JfTk,Eric Topol
W14XWvAz3x4,Kumi Sato
VS5CCbyap5Q,Dave Cornthwaite
5MgBikgcWnY,Josh Kaufman
